date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-02-20,Guam,48387,51300,31950,9.72,29.19,16104,19.27,30.95,1490,1520,9169,0.943
2021-02-19,Guam,46897,51300,31432,9.14,28.29,15150,18.96,30.95,4226,1569,9465,0.914
2021-02-18,Guam,42671,51300,29055,8.03,25.74,13311,17.53,30.95,1664,1240,7480,0.832
2021-02-17,Guam,41007,51300,28460,7.39,24.74,12251,17.17,30.95,1503,1223,7378,0.799
2021-02-16,Guam,39504,51300,27946,6.8,23.83,11266,16.86,30.95,441,1226,7396,0.77
2021-02-15,Guam,,,,,,,,,441,1335,8053,
2021-02-14,Guam,38622,51300,27647,6.45,23.3,10688,16.68,30.95,872,1293,7800,0.753
2021-02-13,Guam,37750,51300,27348,6.1,22.77,10117,16.5,30.95,1833,1256,7577,0.736
2021-02-12,Guam,35917,51300,26699,5.4,21.67,8955,16.11,30.95,1924,1221,7366,0.7
2021-02-11,Guam,33993,51300,26019,4.65,20.51,7711,15.7,30.95,1550,1132,6829,0.663
2021-02-10,Guam,32443,51300,25308,4.15,19.57,6873,15.27,30.95,1520,911,5496,0.632
2021-02-09,Guam,30923,51300,24420,3.78,18.65,6260,14.73,30.95,1204,873,5266,0.603
2021-02-08,Guam,29719,51300,23693,3.52,17.93,5838,14.29,30.95,147,896,5405,0.579
2021-02-07,Guam,29572,51300,23564,3.51,17.84,5820,14.22,30.95,613,1017,6135,0.576
2021-02-06,Guam,28959,51300,23195,3.37,17.47,5581,13.99,30.95,1590,929,5604,0.565
2021-02-05,Guam,27369,51300,21871,3.21,16.51,5321,13.19,30.95,1301,874,5272,0.534
2021-02-04,Guam,26068,51300,20785,3.08,15.73,5108,12.54,30.95,0,935,5640,0.508
2021-02-03,Guam,26068,43500,20785,3.08,15.73,5108,12.54,26.24,1258,1115,6726,0.599
2021-02-02,Guam,24810,43500,19700,2.98,14.97,4936,11.88,26.24,1365,1072,6467,0.57
2021-02-01,Guam,23445,34300,18538,2.86,14.14,4736,11.18,20.69,991,2808,16939,0.684
2021-01-31,Guam,22454,34300,17784,2.71,13.54,4499,10.73,20.69,0,2666,16083,0.655
2021-01-30,Guam,22454,34300,17784,2.71,13.54,4499,10.73,20.69,1200,2666,16083,0.655
2021-01-29,Guam,21254,34300,16747,2.63,12.82,4358,10.1,20.69,1734,2495,15051,0.62
2021-01-28,Guam,19520,34300,15405,2.39,11.77,3969,9.29,20.69,1257,2247,13555,0.569
2021-01-27,Guam,18263,34300,14269,2.33,11.02,3869,8.61,20.69,957,2067,12469,0.532
2021-01-26,Guam,17306,34300,13378,2.29,10.44,3803,8.07,20.69,13515,1931,11649,0.505
2021-01-25,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-24,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-23,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-22,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-21,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-20,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-19,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-18,Guam,,,,,,,,,0,0,0,
2021-01-17,Guam,,,,,,,,,0,0,0,
2021-01-16,Guam,,,,,,,,,0,0,0,
2021-01-15,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-14,Guam,3791,34300,3785,,2.29,,2.28,20.69,0,0,0,0.111
2021-01-13,Guam,3791,34300,401,,2.29,,0.24,20.69,0,0,0,0.111
2021-01-12,Guam,3791,26500,401,,2.29,,0.24,15.99,,,,0.143
2021-03-03,Hawaii,399195,557040,251867,10.38,28.19,147043,17.79,39.34,6424,8489,5996,0.717
2021-03-02,Hawaii,392771,536520,249631,10.09,27.74,142855,17.63,37.89,3127,8453,5970,0.732
2021-03-01,Hawaii,389644,497760,248885,9.92,27.52,140469,17.58,35.16,6846,8332,5885,0.783
2021-02-28,Hawaii,382798,497760,246296,9.62,27.04,136218,17.4,35.16,12052,8547,6037,0.769
2021-02-27,Hawaii,370746,497760,241336,9.12,26.18,129131,17.04,35.16,11638,8288,5854,0.745
2021-02-26,Hawaii,359108,494020,236307,8.65,25.36,122521,16.69,34.89,10211,8248,5825,0.727
2021-02-25,Hawaii,348897,477450,231599,8.26,24.64,117019,16.36,33.72,9126,14501,10242,0.731
2021-02-24,Hawaii,339771,459350,227011,7.94,24,112487,16.03,32.44,6172,14151,9995,0.74
2021-02-23,Hawaii,333599,449460,224806,7.66,23.56,108525,15.88,31.74,2278,13775,9729,0.742
2021-02-22,Hawaii,331321,397750,223785,7.58,23.4,107267,15.8,28.09,8355,14306,10104,0.833
2021-02-21,Hawaii,322966,397750,219881,7.26,22.81,102818,15.53,28.09,10236,13968,9865,0.812
2021-02-20,Hawaii,312730,397750,215488,6.85,22.09,96971,15.22,28.09,11361,13564,9580,0.786
2021-02-19,Hawaii,301369,397750,210213,6.42,21.28,90892,14.85,28.09,53977,13223,9339,0.758
2021-02-18,Hawaii,247392,320950,174151,5.17,17.47,73236,12.3,22.67,6677,6682,4719,0.771
2021-02-17,Hawaii,240715,320950,170911,4.93,17,69799,12.07,22.67,3543,6669,4710,0.75
2021-02-16,Hawaii,237172,311200,168479,4.85,16.75,68688,11.9,21.98,5992,6162,4352,0.762
2021-02-15,Hawaii,,,,,,,,,5992,5306,3748,
2021-02-14,Hawaii,225188,310600,162945,4.4,15.9,62239,11.51,21.94,7408,5449,3849,0.725
2021-02-13,Hawaii,217780,310400,159583,4.11,15.38,58194,11.27,21.92,8973,5532,3907,0.702
2021-02-12,Hawaii,208807,310200,154828,3.81,14.75,53976,10.94,21.91,8189,5585,3945,0.673
2021-02-11,Hawaii,200618,308300,150648,3.53,14.17,49969,10.64,21.78,6583,7073,4996,0.651
2021-02-10,Hawaii,194035,296250,142259,3,13.7,42472,10.05,20.92,0,7193,5080,0.655
2021-02-09,Hawaii,194035,285950,142259,3,13.7,42472,10.05,20.2,0,8017,5662,0.679
2021-02-08,Hawaii,194035,263000,142259,3,13.7,42472,10.05,18.58,6987,8314,5872,0.738
2021-02-07,Hawaii,187048,263000,137230,2.86,13.21,40514,9.69,18.58,7989,8254,5830,0.711
2021-02-06,Hawaii,179059,263000,132701,2.62,12.65,37054,9.37,18.58,9346,8365,5908,0.681
2021-02-05,Hawaii,169713,262900,126683,2.38,11.99,33726,8.95,18.57,18606,8364,5907,0.646
2021-02-04,Hawaii,151107,262900,120533,2.16,10.67,30573,8.51,18.57,7421,6738,4759,0.575
2021-02-03,Hawaii,143686,253150,115440,2,10.15,28245,8.15,17.88,5772,6571,4641,0.568
2021-02-02,Hawaii,137914,246550,110757,1.92,9.74,27156,7.82,17.41,2078,6308,4455,0.559
2021-02-01,Hawaii,135836,227400,108745,1.91,9.59,27090,7.68,16.06,6569,6249,4414,0.597
2021-01-31,Hawaii,129267,227400,103398,1.83,9.13,25868,7.3,16.06,8765,6354,4488,0.568
2021-01-30,Hawaii,120502,227400,96743,1.68,8.51,23758,6.83,16.06,9337,5101,3603,0.53
2021-01-29,Hawaii,111165,226800,89428,1.54,7.85,21736,6.32,16.02,7221,3767,2661,0.49
2021-01-28,Hawaii,103944,226700,84139,1.4,7.34,19804,5.94,16.01,6252,3504,2475,0.459
2021-01-27,Hawaii,97692,217425,79147,1.31,6.9,18544,5.59,15.36,3932,3678,2598,0.449
2021-01-26,Hawaii,93760,210425,75820,1.27,6.62,17939,5.36,14.86,1668,4258,3007,0.446
2021-01-25,Hawaii,92092,191575,74296,1.26,6.5,17795,5.25,13.53,7300,4627,3268,0.481
2021-01-24,Hawaii,84792,191575,67990,1.19,5.99,16802,4.8,13.53,0,4191,2960,0.443
2021-01-23,Hawaii,84792,191575,67990,1.19,5.99,16802,4.8,13.53,-1,4798,3389,0.443
2021-01-22,Hawaii,84793,191375,67991,1.19,5.99,16802,4.8,13.52,5379,5405,3817,0.443
2021-01-21,Hawaii,79414,189675,63282,1.14,5.61,16132,4.47,13.4,7470,4490,3171,0.419
2021-01-20,Hawaii,71944,154150,58111,0.98,5.08,13833,4.1,10.89,7990,5048,3565,0.467
2021-01-19,Hawaii,63954,154150,52635,0.8,4.52,11319,3.72,10.89,4249,4353,3074,0.415
2021-01-18,Hawaii,,,,,,,,,4249,4370,3086,
2021-01-17,Hawaii,,,,,,,,,4249,4395,3104,
2021-01-16,Hawaii,,,,,,,,,4249,4431,3130,
2021-01-15,Hawaii,46958,154150,39690,0.51,3.32,7268,2.8,10.89,-1027,4492,3173,0.305
2021-01-14,Hawaii,47985,154150,,,3.39,,,10.89,11380,7251,5121,0.311
2021-01-13,Hawaii,36605,154150,,,2.58,,,10.89,3122,3122,2205,0.237
2021-01-12,Hawaii,33483,141750,,,2.37,,,10.01,,,,0.236
2021-03-03,Idaho,418956,525115,267570,7.76,23.44,138642,14.97,29.38,9315,10346,5789,0.798
2021-03-02,Idaho,409641,517115,263060,7.49,22.92,133917,14.72,28.94,5391,9885,5531,0.792
2021-03-01,Idaho,404250,485195,260280,7.35,22.62,131312,14.56,27.15,11880,9715,5436,0.833
2021-02-28,Idaho,392370,485195,253640,7.06,21.96,126208,14.19,27.15,13969,9433,5278,0.809
2021-02-27,Idaho,378401,485195,246738,6.7,21.17,119776,13.81,27.15,11288,9276,5191,0.78
2021-02-26,Idaho,367113,459355,240499,6.42,20.54,114807,13.46,25.7,10126,8924,4994,0.799
2021-02-25,Idaho,356987,432185,235862,6.12,19.98,109348,13.2,24.18,10453,11216,6276,0.826
2021-02-24,Idaho,346534,422185,231667,5.77,19.39,103129,12.96,23.62,6090,10909,6104,0.821
2021-02-23,Idaho,340444,388815,229220,5.57,19.05,99518,12.83,21.76,4201,10974,6141,0.876
2021-02-22,Idaho,336243,358200,227171,5.45,18.82,97370,12.71,20.04,9907,11898,6658,0.939
2021-02-21,Idaho,326336,358200,222381,5.16,18.26,92265,12.44,20.04,12870,12006,6718,0.911
2021-02-20,Idaho,313466,358200,216285,4.79,17.54,85566,12.1,20.04,8819,13126,7345,0.875
2021-02-19,Idaho,304647,357200,211625,4.56,17.05,81497,11.84,19.99,26173,12941,7241,0.853
2021-02-18,Idaho,278474,336650,195596,4,15.58,71408,10.94,18.84,8305,9202,5149,0.827
2021-02-17,Idaho,270169,334550,191063,3.79,15.12,67805,10.69,18.72,6544,9256,5179,0.808
2021-02-16,Idaho,263625,333575,187653,3.62,14.75,64687,10.5,18.67,10665,9257,5180,0.79
2021-02-15,Idaho,,,,,,,,,10665,8196,4586,
2021-02-14,Idaho,242295,329575,174495,3.17,13.56,56629,9.76,18.44,20710,8088,4526,0.735
2021-02-13,Idaho,221585,328600,163950,2.6,12.4,46516,9.17,18.39,7522,6481,3627,0.674
2021-02-12,Idaho,214063,320800,159796,2.42,11.98,43231,8.94,17.95,0,7810,4370,0.667
2021-02-11,Idaho,214063,319825,159796,2.42,11.98,43231,8.94,17.9,8684,10309,5769,0.669
2021-02-10,Idaho,205379,310025,155238,2.22,11.49,39608,8.69,17.35,6553,10428,5835,0.662
2021-02-09,Idaho,198826,282075,151372,2.07,11.13,37002,8.47,15.78,3235,10311,5770,0.705
2021-02-08,Idaho,195591,266475,149231,2.01,10.94,35910,8.35,14.91,9910,10173,5693,0.734
2021-02-07,Idaho,185681,266475,140916,1.92,10.39,34322,7.89,14.91,9461,9257,5180,0.697
2021-02-06,Idaho,176220,266475,133810,1.79,9.86,32011,7.49,14.91,16826,8784,4915,0.661
2021-02-05,Idaho,159394,262275,120147,1.62,8.92,28970,6.72,14.68,17497,7217,4038,0.608
2021-02-04,Idaho,141897,262275,113110,1.47,7.94,26345,6.33,14.68,9513,5585,3125,0.541
2021-02-03,Idaho,132384,245925,107234,1.35,7.41,24171,6,13.76,5736,5056,2829,0.538
2021-02-02,Idaho,126648,216975,102959,1.27,7.09,22725,5.76,12.14,2271,4697,2628,0.584
2021-02-01,Idaho,124377,221550,100946,1.26,6.96,22468,5.65,12.4,3497,4729,2646,0.561
2021-01-31,Idaho,120880,221550,98287,1.21,6.76,21636,5.5,12.4,6151,4822,2698,0.546
2021-01-30,Idaho,114729,221550,93632,1.13,6.42,20148,5.24,12.4,5856,4584,2565,0.518
2021-01-29,Idaho,108873,221550,88975,1.06,6.09,18970,4.98,12.4,6073,4412,2469,0.491
2021-01-28,Idaho,102800,210750,85373,0.94,5.75,16724,4.78,11.79,5809,4204,2352,0.488
2021-01-27,Idaho,96991,203225,80857,0.86,5.43,15443,4.52,11.37,3225,3961,2216,0.477
2021-01-26,Idaho,93766,184025,78484,0.82,5.25,14627,4.39,10.3,2495,4256,2382,0.51
2021-01-25,Idaho,91271,181100,76199,0.81,5.11,14419,4.26,10.13,4143,4519,2529,0.504
2021-01-24,Idaho,87128,181100,72424,0.79,4.88,14059,4.05,10.13,4488,4546,2544,0.481
2021-01-23,Idaho,82640,181100,68292,0.77,4.62,13711,3.82,10.13,4652,4524,2532,0.456
2021-01-22,Idaho,77988,181100,64295,0.73,4.36,13075,3.6,10.13,4616,4479,2506,0.431
2021-01-21,Idaho,73372,178175,61118,0.66,4.11,11760,3.42,9.97,4105,4398,2461,0.412
2021-01-20,Idaho,69267,166850,58328,0.6,3.88,10738,3.26,9.34,5292,4342,2430,0.415
2021-01-19,Idaho,63975,160075,53609,0.57,3.58,10165,3,8.96,4334.75,4019,2249,0.4
2021-01-18,Idaho,,,,,,,,,4334.75,3966,2219,
2021-01-17,Idaho,,,,,,,,,4334.75,3892,2178,
2021-01-16,Idaho,,,,,,,,,4334.75,3781,2116,
2021-01-15,Idaho,46636,160075,37646,0.5,2.61,8843,2.11,8.96,4050,3597,2013,0.291
2021-01-14,Idaho,42586,160075,35179,,2.38,,1.97,8.96,3714,3370,1886,0.266
2021-01-13,Idaho,38872,158125,33176,0.32,2.17,5653,1.86,8.85,3027,3027,1694,0.246
2021-01-12,Idaho,35845,146750,31504,0.24,2.01,4308,1.76,8.21,,,,0.244
2021-03-03,Illinois,3022385,3925545,2092244,6.98,23.85,884810,16.51,30.98,63438,80143,6325,0.77
2021-03-02,Illinois,2958947,3722705,2059448,6.75,23.35,854802,16.25,29.38,52392,77559,6121,0.795
2021-03-01,Illinois,2906555,3575135,2028167,6.58,22.94,834142,16,28.21,82346,78880,6225,0.813
2021-02-28,Illinois,2824209,3575135,1987775,6.26,22.29,792853,15.69,28.21,88959,69238,5464,0.79
2021-02-27,Illinois,2735250,3575135,1947751,5.88,21.58,744792,15.37,28.21,95424,67681,5341,0.765
2021-02-26,Illinois,2639826,3557335,1907053,5.45,20.83,691102,15.05,28.07,120379,66470,5245,0.742
2021-02-25,Illinois,2519447,3499685,1840030,5.05,19.88,639901,14.52,27.62,58062,68866,5435,0.72
2021-02-24,Illinois,2461385,3327065,1811338,4.82,19.42,611324,14.29,26.26,45351,66469,5245,0.74
2021-02-23,Illinois,2416034,3005345,1786799,4.67,19.07,591312,14.1,23.72,61639,65950,5204,0.804
2021-02-22,Illinois,2354395,2924925,1750507,4.47,18.58,566994,13.81,23.08,14849,64299,5074,0.805
2021-02-21,Illinois,2339546,2924925,1742360,4.42,18.46,560403,13.75,23.08,78064,69331,5471,0.8
2021-02-20,Illinois,2261482,2924725,1697843,4.16,17.85,527382,13.4,23.08,86943,69845,5512,0.773
2021-02-19,Illinois,2174539,2883925,1647720,3.89,17.16,492551,13,22.76,137151,71364,5632,0.754
2021-02-18,Illinois,2037388,2706400,1557154,3.52,16.08,446598,12.29,21.36,41289,61794,4876,0.753
2021-02-17,Illinois,1996099,2694700,1531557,3.4,15.75,431310,12.09,21.26,41717,65188,5144,0.741
2021-02-16,Illinois,1954382,2661550,1498639,3.34,15.42,422981,11.83,21,50077,68086,5373,0.734
2021-02-15,Illinois,,,,,,,,,50077,63802,5035,
2021-02-14,Illinois,1854228,2566675,1421577,3.16,14.63,400340,11.22,20.26,81660,64663,5103,0.722
2021-02-13,Illinois,1772568,2561800,1364527,2.97,13.99,375992,10.77,20.22,97580,63229,4990,0.692
2021-02-12,Illinois,1674988,2481075,1294565,2.75,13.22,348826,10.22,19.58,70158,61067,4819,0.675
2021-02-11,Illinois,1604830,2455500,1243706,2.6,12.66,330108,9.82,19.38,65049,60923,4808,0.654
2021-02-10,Illinois,1539781,2327100,1198096,2.48,12.15,314687,9.46,18.36,62001,61601,4861,0.662
2021-02-09,Illinois,1477780,2207200,1148175,2.39,11.66,302923,9.06,17.42,20087,57815,4562,0.67
2021-02-08,Illinois,1457693,2089050,1131846,2.36,11.5,299201,8.93,16.49,56108,57554,4542,0.698
2021-02-07,Illinois,1401585,2089050,1086599,2.28,11.06,288458,8.58,16.49,71622,55733,4398,0.671
2021-02-06,Illinois,1329963,2089050,1028487,2.17,10.5,275276,8.12,16.49,82442,54451,4297,0.637
2021-02-05,Illinois,1247521,2089050,962345,2.05,9.84,260248,7.59,16.49,69152,51860,4093,0.597
2021-02-04,Illinois,1178369,2053325,905981,1.96,9.3,247763,7.15,16.2,69798,50721,4003,0.574
2021-02-03,Illinois,1108571,1986725,859076,1.82,8.75,230850,6.78,15.68,35495,48845,3855,0.558
2021-02-02,Illinois,1073076,1859850,831556,1.76,8.47,223026,6.56,14.68,18262,47870,3778,0.577
2021-02-01,Illinois,1054814,1696575,817253,1.73,8.32,219095,6.45,13.39,43360,47373,3738,0.622
2021-01-31,Illinois,1011454,1696575,781536,1.67,7.98,211528,6.17,13.39,62650,44626,3522,0.596
2021-01-30,Illinois,948804,1696575,733006,1.56,7.49,197643,5.78,13.39,64302,42007,3315,0.559
2021-01-29,Illinois,884502,1658725,685529,1.43,6.98,181063,5.41,13.09,61177,39571,3123,0.533
2021-01-28,Illinois,823325,1631775,643555,1.28,6.5,162086,5.08,12.88,56666,36114,2850,0.505
2021-01-27,Illinois,766659,1591000,611024,1.17,6.05,147925,4.82,12.56,28670,32390,2556,0.482
2021-01-26,Illinois,737989,1548950,590212,1.11,5.82,140394,4.66,12.22,14786,30390,2398,0.476
2021-01-25,Illinois,723203,1417250,578406,1.08,5.71,137465,4.57,11.18,24131,31402,2478,0.51
2021-01-24,Illinois,699072,1417250,556517,1.07,5.52,135330,4.39,11.18,44320,31080,2453,0.493
2021-01-23,Illinois,654752,1417250,518779,1.02,5.17,128907,4.09,11.18,47250,27873,2200,0.462
2021-01-22,Illinois,607502,1209300,479848,0.95,4.79,120754,3.79,9.54,36975,24248,1914,0.502
2021-01-21,Illinois,570527,1173325,452010,0.88,4.5,111933,3.57,9.26,30601,23837,1881,0.486
2021-01-20,Illinois,539926,1094000,425824,0.85,4.26,107651,3.36,8.63,14665,24867,1962,0.494
2021-01-19,Illinois,525261,1011225,414362,0.82,4.15,104533,3.27,7.98,21874,25465,2010,0.519
2021-01-18,Illinois,,,,,,,,,21874,26064,2057,
2021-01-17,Illinois,,,,,,,,,21874,26902,2123,
2021-01-16,Illinois,,,,,,,,,21874,28158,2222,
2021-01-15,Illinois,437765,1011225,341518,0.72,3.45,91248,2.7,7.98,34099,30253,2387,0.433
2021-01-14,Illinois,403666,958125,316876,,3.19,,2.5,7.56,37807,28330,2236,0.421
2021-01-13,Illinois,365859,920225,291445,0.58,2.89,74186,2.3,7.26,18854,18854,1488,0.398
2021-01-12,Illinois,347005,903100,284035,0.5,2.74,62757,2.24,7.13,,,,0.384
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2021-03-03,Indiana,1657664,2083930,1035893,8.98,24.62,604449,15.39,30.96,33087,42373,6294,0.795
2021-03-02,Indiana,1624577,2053030,1021414,8.71,24.13,586200,15.17,30.5,9428,46529,6911,0.791
2021-03-01,Indiana,1615149,1848620,1016163,8.65,23.99,582101,15.09,27.46,24805,46116,6850,0.874
2021-02-28,Indiana,1590344,1848620,1005101,8.44,23.62,568495,14.93,27.46,38399,45786,6801,0.86
2021-02-27,Indiana,1551945,1848620,987932,8.14,23.05,547659,14.68,27.46,46905,45361,6738,0.84
2021-02-26,Indiana,1505040,1832150,966033,7.77,22.36,523070,14.35,27.22,45744,44421,6598,0.821
2021-02-25,Indiana,1459296,1810380,946248,7.39,21.68,497544,14.06,26.89,98243,47617,7073,0.806
2021-02-24,Indiana,1361053,1734580,911746,6.57,20.22,442264,13.54,25.76,62176,35377,5255,0.785
2021-02-23,Indiana,1298877,1704790,887936,6.06,19.29,408261,13.19,25.32,6537,29588,4395,0.762
2021-02-22,Indiana,1292340,1487400,884201,6.02,19.2,405490,13.13,22.09,22501,31003,4605,0.869
2021-02-21,Indiana,1269839,1487400,874152,5.84,18.86,393133,12.98,22.09,35423,30138,4477,0.854
2021-02-20,Indiana,1234416,1487400,859278,5.54,18.34,372868,12.76,22.09,40322,30805,4576,0.83
2021-02-19,Indiana,1194094,1487400,841694,5.2,17.74,350440,12.5,22.09,68118,45789,6801,0.803
2021-02-18,Indiana,1125976,1452900,803800,4.76,16.73,320425,11.94,21.58,12563,41992,6237,0.775
2021-02-17,Indiana,1113413,1447050,797872,4.66,16.54,313895,11.85,21.49,21651,45387,6742,0.769
2021-02-16,Indiana,1091762,1445100,787050,4.5,16.22,303183,11.69,21.46,16444,47242,7017,0.755
2021-02-15,Indiana,,,,,,,,,16444,46507,6908,
2021-02-14,Indiana,1058874,1388375,770193,4.27,15.73,287278,11.44,20.62,40091,44158,6559,0.763
2021-02-13,Indiana,1018783,1387975,749756,3.98,15.13,267774,11.14,20.62,145215,38430,5708,0.734
2021-02-12,Indiana,873568,1360125,659495,3.17,12.98,213259,9.8,20.2,41537,23240,3452,0.642
2021-02-11,Indiana,832031,1351325,637068,2.89,12.36,194281,9.46,20.07,36329,22977,3413,0.616
2021-02-10,Indiana,795702,1291675,617918,2.63,11.82,177231,9.18,19.19,34632,22565,3352,0.616
2021-02-09,Indiana,761070,1206125,598731,2.4,11.3,161879,8.89,17.92,11299,21254,3157,0.631
2021-02-08,Indiana,749771,1118350,593266,2.32,11.14,156083,8.81,16.61,0,20369,3026,0.67
2021-02-07,Indiana,749771,1118350,593266,2.32,11.14,156083,8.81,16.61,0,20369,3026,0.67
2021-02-06,Indiana,749771,1118350,593266,2.32,11.14,156083,8.81,16.61,38883,20369,3026,0.67
2021-02-05,Indiana,710888,1117350,568118,2.11,10.56,142405,8.44,16.6,39697,18509,2749,0.636
2021-02-04,Indiana,671191,1116375,541269,1.92,9.97,129626,8.04,16.58,33446,17007,2526,0.601
2021-02-03,Indiana,637745,1106550,517147,1.79,9.47,120352,7.68,16.44,25456,16224,2410,0.576
2021-02-02,Indiana,612289,1091375,499215,1.68,9.1,112864,7.41,16.21,5104,16209,2408,0.561
2021-02-01,Indiana,607185,931500,495746,1.65,9.02,111233,7.36,13.84,0,16476,2447,0.652
2021-01-31,Indiana,607185,931500,495746,1.65,9.02,111233,7.36,13.84,0,23022,3420,0.652
2021-01-30,Indiana,607185,931500,495746,1.65,9.02,111233,7.36,13.84,25863,23022,3420,0.652
2021-01-29,Indiana,581322,929900,475928,1.56,8.64,105208,7.07,13.81,29178,23885,3548,0.625
2021-01-28,Indiana,552144,925300,454380,1.45,8.2,97614,6.75,13.74,27964,23572,3501,0.597
2021-01-27,Indiana,524180,920975,432791,1.36,7.79,91255,6.43,13.68,25356,23971,3561,0.569
2021-01-26,Indiana,498824,900175,413982,1.26,7.41,84719,6.15,13.37,6968,23448,3483,0.554
2021-01-25,Indiana,491856,841725,408181,1.24,7.31,83554,6.06,12.5,45827,25109,3730,0.584
2021-01-24,Indiana,446029,841725,367944,1.16,6.62,77985,5.46,12.5,0,21219,3152,0.53
2021-01-23,Indiana,446029,841725,367944,1.16,6.62,77985,5.46,12.5,31902,23875,3546,0.53
2021-01-22,Indiana,414127,839925,340055,1.1,6.15,73986,5.05,12.48,26990,21974,3264,0.493
2021-01-21,Indiana,387137,816025,320266,0.99,5.75,66801,4.76,12.12,30752,21950,3260,0.474
2021-01-20,Indiana,356385,741025,297720,0.87,5.29,58616,4.42,11.01,21699,20722,3078,0.481
2021-01-19,Indiana,334686,642425,283779,0.76,4.97,50862,4.22,9.54,18594,20406,3031,0.521
2021-01-18,Indiana,,,,,,,,,18594,20708,3076,
2021-01-17,Indiana,,,,,,,,,18594,21131,3139,
2021-01-16,Indiana,,,,,,,,,18594,21765,3233,
2021-01-15,Indiana,260310,642425,222599,0.56,3.87,37683,3.31,9.54,26822,22822,3390,0.405
2021-01-14,Indiana,233488,630025,203889,,3.47,,3.03,9.36,22154,20822,3093,0.371
2021-01-13,Indiana,211334,579050,125763,0.48,3.14,32040,1.87,8.6,19490,19490,2895,0.365
2021-01-12,Indiana,191844,540475,114781,0.35,2.85,23546,1.7,8.03,,,,0.355
2021-03-03,Iowa,753860,983345,553471,6.14,23.89,193643,17.54,31.17,13147,18878,5983,0.767
2021-03-02,Iowa,740713,940045,546916,5.93,23.48,187234,17.34,29.8,5868,17969,5695,0.788
2021-03-01,Iowa,734845,901745,543027,5.87,23.29,185255,17.21,28.58,21791,17665,5599,0.815
2021-02-28,Iowa,713054,901745,530741,5.57,22.6,175777,16.82,28.58,28458,16224,5142,0.791
2021-02-27,Iowa,684596,901745,511624,5.28,21.7,166554,16.22,28.58,30522,15317,4855,0.759
2021-02-26,Iowa,654074,872345,487097,5.09,20.73,160663,15.44,27.65,22914,14481,4590,0.75
2021-02-25,Iowa,631160,837515,469234,4.93,20,155667,14.87,26.54,9443,17644,5592,0.754
2021-02-24,Iowa,621717,792615,462422,4.86,19.71,153214,14.66,25.12,6789,18033,5716,0.784
2021-02-23,Iowa,614928,746475,457493,4.8,19.49,151431,14.5,23.66,3740,18460,5851,0.824
2021-02-22,Iowa,611188,707865,454792,4.77,19.37,150392,14.42,22.44,11699,20011,6342,0.863
2021-02-21,Iowa,599489,707865,445872,4.68,19,147615,14.13,22.44,22115,20425,6474,0.847
2021-02-20,Iowa,577374,707865,430429,4.47,18.3,141104,13.64,22.44,24668,20700,6561,0.816
2021-02-19,Iowa,552706,669900,411926,4.28,17.52,134995,13.06,21.23,45056,20590,6526,0.825
